Category,Level,No.,Question
Small Talk,Intermediate,23,What is the best gift you have ever received/given?
Small Talk,Intermediate,24,What would you most like to accomplish in sports/music/extracurriculars next?
Small Talk,Intermediate,25,"If you could keep any animal, real or imaginary, as a pet, which would you choose?"
Small Talk,Intermediate,26,Describe your perfect meal
Small Talk,Intermediate,27,What five items would you bring with you to a deserted island? Why?
Small Talk,Intermediate,28,What are you thinking about at this very moment?
Small Talk,Intermediate,29,What is happening in the news this week?
Small Talk,Intermediate,30,Are you doing anything to improve your life at the moment?
Small Talk,Advanced,1,Do you think social media helps make/maintain friendships? Why/why not?
Small Talk,Advanced,2,Who is someone who looks up to you?
Small Talk,Advanced,3,Who is your personal hero? Why?
Small Talk,Advanced,4,What’s a career that doesn’t exist (yet) that you think should? Would you want the job?
Small Talk,Advanced,5,What is the most challenging part of your life right now?
Small Talk,Advanced,6,Do you think college athletes should be paid?
Small Talk,Advanced,7,Tell me about an achievement/experience you’re really proud of
Small Talk,Advanced,8,What’s something you wish adults understood about kids today?
Small Talk,Advanced,9,"If you could time travel to any year in the past or future, which would you choose? Why? What would you do?"
Small Talk,Advanced,10,"If someone were to make a movie about your life right now, what would you call it? Which actors would you want to be in it?"
Small Talk,Advanced,11,What superpower would you want to have? How would you use it?
Small Talk,Advanced,12,"If you could invite three people, living or dead, to your birthday party, who would you choose? What would you talk about/do?"
Small Talk,Advanced,13,"If you could only read one book/watch one movie/play one game for a whole year, which would you choose and why?"
Small Talk,Advanced,14,Do you think aliens exist? How would you explain Earth/humans to them?
Small Talk,Advanced,15,"If you had one year to spend one million dollars, how would you spend it?"
Small Talk,Advanced,16,"If you could switch places with any person, real or fictional, for a day, who would it be?"
Small Talk,Advanced,17,"If you could pitch a TV show/movie to Netflix that’s guaranteed to be produced, what would it be about? Which role would you want?"
Small Talk,Advanced,18,What do you think makes your generation unique?
Small Talk,Advanced,19,"If you could create any law that everyone on Earth had to follow, what would it be? What would you want it to accomplish?"
Small Talk,Advanced,20,Do you think there is too much/not enough technology in the world? What would you change?
Small Talk,Advanced,21,What is the leader of your country doing at the moment?
Small Talk,Advanced,22,Is your government doing a good job?
Small Talk,Advanced,23,Are you doing anything to help the environment in these difficult times?
GEPT,Elementary,1,Where do your grandparents live?
GEPT,Elementary,2,What holiday is your favorite? Why?
GEPT,Elementary,3,Who is your best friend? What is he or she like?
GEPT,Elementary,4,What is the last movie you watched?
GEPT,Elementary,5,Who is the most unforgettable person in your life?
GEPT,Elementary,6,Where were you born?
GEPT,Elementary,7,What kind of music do you like the best? Why?
GEPT,Elementary,8,Do you play baseball? Why or why not?
GEPT,Elementary,9,What did you do last night?
GEPT,Elementary,10,How do you spell your first name?
GEPT,Elementary,11,Do you like going shopping? Why or why not?
GEPT,Elementary,12,Do you enjoy fast food? Why or why not?
GEPT,Elementary,13,How many people in your family?
GEPT,Elementary,14,What TV show do you like to watch the most? Why?
GEPT,Elementary,15,What do you do for fun?
GEPT,Elementary,16,Do you like to travel? Why or why not?
GEPT,Elementary,17,Do you go to the restaurant? Why or why not?
GEPT,Elementary,18,When is your birthday?
GEPT,Elementary,19,What are you wearing today?
GEPT,Elementary,20,How often do you watch TV? What do you usually watch?
GEPT,Elementary,21,How do you get to school? How long does it take to get there?
GEPT,Elementary,22,How do you feel when you get the flu?
GEPT,Elementary,23,Do you like reading? Why or why not?
GEPT,Elementary,24,Do you like comic books? Why or why not?
GEPT,Elementary,25,What day is today?
GEPT,Elementary,26,What did you have for breakfast this morning?
GEPT,Elementary,27,What is your favorite color?
GEPT,Elementary,28,What special things do people usually do during Chinese New Year?
GEPT,Elementary,29,What's the weather like in your hometown?
GEPT,Elementary,30,What's your favorite dessert?
GEPT,Elementary,31,When do you wash your face?
GEPT,Elementary,32,Where are you going this weekend? What will you do there?
GEPT,Elementary,33,Where do you usually go shopping?
GEPT,Elementary,34,Where is Kaohsiung? Is it far from your home?
GEPT,Elementary,35,Which season do you like the best? Why?
GEPT,Elementary,36,Your friend is speaking too quickly. What would you say to him?
GEPT,Elementary,37,There is going to be an exhibit at the museum.
GEPT,Elementary,38,How much time do you usually spend eating breakfast in the morning?
GEPT,Elementary,39,A person calls on the phone and wants to talk to your sister but she isn't at home.
GEPT,Elementary,40,There is a dog following you home from school. What would you do?
GEPT,Elementary,41,How was the traffic on your way here?
GEPT,Elementary,42,Do you like riding a bicycle?
GEPT,Elementary,43,Tell me about your hometown.
GEPT,Elementary,44,Do you think TV is good for children?
GEPT,Elementary,45,How do you go to school every day?
GEPT,Elementary,46,Is your family a big one or a small one?
GEPT,Elementary,47,Describe your living room at home.
GEPT,Elementary,48,"If you had to live in either Kaohsiung or Taipei, which one would you choose?"
GEPT,Elementary,49,Do you often go to the movies? Why or why not?
GEPT,Elementary,50,Do you think it's okay for guys to grow long hair?
GEPT,Elementary,51,Describe your living room at home.
GEPT,Elementary,52,How do you usually celebrate your birthday?
GEPT,Elementary,53,What is your favorite sport?
GEPT,Elementary,54,When do you usually go to bed?
GEPT,Elementary,55,Your sister Linda got a love letter. What would you ask her?
GEPT,Elementary,56,Do you play video games when you are free?
GEPT,Elementary,57,Do you keep a pet?
GEPT,Elementary,58,"Your friend, Brian, will not be here next semester. What will you say to him?"
GEPT,Elementary,59,Where do you usually go after school?
GEPT,Elementary,60,Do you play video games when you are free?
GEPT,Elementary,61,"Suddenly, someone pushes you. What would you say to him?"
GEPT,Elementary,62,"Which subject do you like more, English or Chinese? Please explain why."
GEPT,Elementary,63,How do you usually celebrate your birthday?
GEPT,Elementary,64,You want to talk to your friend George on the phone.
GEPT,Elementary,65,"You are at a store buying something, but you want a better price."
GEPT,Elementary,66,A friend gives you an expensive gift that you really like.
GEPT,Elementary,67,What are your future plans?
GEPT,Elementary,68,You get lost trying to get to the bus station. Ask someone for directions.
GEPT,Elementary,69,You are at a hospital visiting a sick friend.
GEPT,Elementary,70,Tell me about your parents.
GEPT,Elementary,71,What do you do?
GEPT,Elementary,72,"If you could travel anywhere, where would you go? Why?"
GEPT,Elementary,73,What would you do if you found a cockroach in your soup at a restaurant?
GEPT,Elementary,74,"At a restaurant, you order spaghetti, but the waiter serves you fried rice by mistake. What do you do?"
GEPT,Elementary,75,Your friend doesn't look well. What do you say to them?
GEPT,Elementary,76,"Your friend invites you to go out for dinner, but you can't go. What do you say?"
GEPT,Elementary,77,Do you sort your trash? Why or why not?
GEPT,Elementary,78,Do you keep a diary?
GEPT,Elementary,79,You must go to Taipei with your grandfather on the train immediately.
GEPT,Elementary,80,"You are at KFC for lunch. After ordering, you can't find an empty table."
GEPT,Elementary,81,Tell me about one of your hopes.
GEPT,Elementary,82,You are waiting for a friend and they are late. They finally arrive and say they are sorry. How do you respond?
GEPT,Elementary,83,Are you scared of any sort of bugs?
GEPT,Elementary,84,What do you do when you feel sad?
GEPT,Elementary,85,How many times do you brush your teeth in a day?
GEPT,Elementary,86,Who is your best friend? Why?
GEPT,Elementary,87,You meet your friend's friend for the first time. Her name is Connie. What would you say to her?
GEPT,Elementary,88,"If you needed assistance from someone, how would you ask them for help?"
GEPT,Elementary,89,"Can you cook anything? If so, what can you make?"
GEPT,Elementary,90,"While you are watching a movie, your father asks you to go to the store for him. What would you do?"
GEPT,Elementary,91,Do you have cable TV at home?
GEPT,Elementary,92,Who do you look up to?
GEPT,Elementary,93,How do you improve your English conversation skills?
GEPT,Elementary,94,You get home one night and realize you are locked out. You don't have your keys and no one is home. What would you do?
GEPT,Elementary,95,"If your friend failed an important test, what would you say to make him or her feel better?"
GEPT,Elementary,96,"If your friends came to see you at home, what would you say to make them feel relaxed?"
GEPT,Elementary,97,How can we become healthier?
GEPT,Elementary,98,You see an old friend that you haven't seen for many years. What do you say to him?
GEPT,Elementary,99,What would you say to introduce a good friend to your father?
GEPT,Elementary,100,"When you give someone a present, what should you say to them?"
GEPT,Elementary,101,What would you do if someone took your seat in the movie theater?
GEPT,Elementary,102,Give a short introduction of yourself.
GEPT,Elementary,103,"There is a phone call for your father, but he isn't at home. What would you say to the caller?"
GEPT,Elementary,104,You are studying at the library. The boys at the next table are talking loudly. What would you do?
GEPT,Elementary,105,What time do you get up on Sundays?
GEPT,Elementary,106,What would you do if the electricity went out while you were taking a bath?
GEPT,Elementary,107,What would you do if your friend looked upset?
GEPT,Elementary,108,What would you do if you won a million dollars?
GEPT,Elementary,109,Do you like to play computer games? Why or why not?
GEPT,Elementary,110,Do you like to play computer games? Why or why not?
GEPT,Elementary,111,You are at a friend's house for a visit. It is time to go. What would you say?
GEPT,Elementary,112,"If your friend's pet died, what would you say?"
GEPT,Elementary,113,"You’re at the checkout counter of a department store. After the clerk finishes totalling up your items, you realize you forgot your wallet. What would you say to the clerk?"
GEPT,Elementary,114,Does taking this test bother you?
GEPT,Elementary,115,"You are at a steak house for dinner. The waiter asks you, “How would you like your steak done?” How do you answer them?"
GEPT,Elementary,116,"You run into your friend, Paul at supermarket? What would you say to him?"
GEPT,Elementary,117,How often do you get your hair cut?
GEPT,Elementary,118,"If you wanted to invite Leo to lunch, what would you say to him?"
GEPT,Elementary,119,"Someone is talking to you, but you don’t understand what they said to you. What do you say to them?"
GEPT,Intermediate,1,What's your favorite kind of movie? Why?
GEPT,Intermediate,2,Do you feel comfortable speaking in front of people? Why or why not?
GEPT,Intermediate,3,Why do some people enjoy exercising and some don't? What do you think?
GEPT,Intermediate,4,In some places we should not talk on cell phones
GEPT,Intermediate,5,What would you do if you were in a strange city and were lost?
GEPT,Intermediate,6,Have you ever done anything dangerous? Tell me about it
GEPT,Intermediate,7,What is your favorite TV program? Why?
GEPT,Intermediate,8,Which pop singer do you like best? Why?
GEPT,Intermediate,9,"When you go out to eat, would you rather eat Chinese food or some other type of food? Why?"
GEPT,Intermediate,10,Do you prefer to spend the weekend at home or out doing different things? Why?
GEPT,Intermediate,11,In the summer there can be a lot of typhoons in Taiwan
GEPT,Intermediate,12,What would you do if you found a wallet with a lot of money in it?
GEPT,Intermediate,13,Do you get up early or sleep late? Why?
GEPT,Intermediate,14,What are you doing at the moment?
GEPT,Intermediate,15,What is your favorite kind of movie?
GEPT,Intermediate,16,How old were you when you started high school?
GEPT,Intermediate,17,There are some places and times when we should not talk on cell phones
GEPT,Intermediate,18,Do you feel comfortable speaking to large groups of people? Why or why not?
GEPT,Intermediate,19,Why do some people enjoy exercising while others do not? What is your opinion?
GEPT,Intermediate,20,Do you get up early or late? Why?
GEPT,Intermediate,21,Have you ever done anything dangerous? Tell me about it
GEPT,Intermediate,22,"When you go out to eat, would you rather eat Chinese food or some other kind of food? Why?"
GEPT,Intermediate,23,What are you doing this evening? Tell me about it
GEPT,Intermediate,24,How many members are there in your family? What do they do?
GEPT,Intermediate,25,What kind of music do you enjoy listening to? Why?
GEPT,Intermediate,26,What should you do to prepare for a typhoon?
GEPT,Intermediate,27,Do you prefer to stay at home or go out and do something during the weekend? Why?
GEPT,Intermediate,28,Why do some people continue to smoke even though it is bad for their health? What do you think?
GEPT,Intermediate,29,How do you feel when you go to see the dentist?
GEPT,Intermediate,30,Have you ever been in a car accident? Tell me about it
GEPT,Intermediate,31,Your best friend recently broke up with his girlfriend or boyfriend. What would you say to make them feel better?
GEPT,Intermediate,32,Did you eat breakfast before you came here? Do you usually prepare it yourself or buy it?
GEPT,Intermediate,33,Would you like to be a famous actor or actress? Why or why not?
GEPT,Intermediate,34,"If a friend were visiting from another country, would you recommend that they drive while here?"
GEPT,Intermediate,35,What does your family usually do after dinner?
GEPT,Intermediate,36,How do you feel when you pass a test?
GEPT,Intermediate,37,What time did you go to bed last night? Is this when you usually go to bed?
GEPT,Intermediate,38,What is your favorite food? How often do you eat it?
GEPT,Intermediate,39,Have you ever overslept and missed a class?
GEPT,Intermediate,40,"When would you say ""congratulations"" to somebody?"
GEPT,Intermediate,41,What are the advantages and disadvantages of living in a small town?
GEPT,Intermediate,42,Do you prefer coffee or tea? Why?
GEPT,Intermediate,43,"If you had the chance to live anywhere you wanted, where would you live?"
GEPT,Intermediate,44,What would a perfect evening be for you?
GEPT,Intermediate,45,How did you feel before this exam? Why?
GEPT,Intermediate,46,How did you get to school this morning?
GEPT,Intermediate,47,You need help studying for an upcoming exam
GEPT,Intermediate,48,"A friend invited you out for dinner, but you have to cancel"
GEPT,Intermediate,49,"Have you ever been to a national park? If so, when and what were your thoughts about it?"
GEPT,Intermediate,50,Describe what you are wearing
GEPT,Intermediate,51,"Have you ever been to the zoo? If so, what did you think about it"
GEPT,Intermediate,52,Describe your bedroom
GEPT,Intermediate,53,What are the advantages and disadvantages of living in a large city?
GEPT,Intermediate,54,When was the last time you went shopping? What did you buy?
GEPT,Intermediate,55,When was the last time you went out for dinner? Where did you go and what did you order?
GEPT,Intermediate,56,When did you learn to ride a bike and who taught you?
GEPT,Intermediate,57,How much time does it take you to prepare for school in the morning?
GEPT,Intermediate,58,How do you usually kill time when you have nothing to do?
GEPT,Intermediate,59,You have received two tickets to a concert
GEPT,Intermediate,60,You see somebody you know steal something at a store
GEPT,Intermediate,61,What was the last book you read? What was it about?
GEPT,Intermediate,62,Do you like to cook? Why or why not?
GEPT,Intermediate,63,How do you usually celebrate your birthday?
GEPT,Intermediate,64,"If your wallet were stolen, what would you do?"
GEPT,Intermediate,65,What was your first job?
GEPT,Intermediate,66,What is something that makes you worry?
GEPT,Intermediate,67,How often do you surf the internet? What kind of websites do you visit?
